
# Surface 0 of 1 surfaces

# Curve title: ""2nm_small.xyz" u 1:2:3"

# IsoCurve 0, 200 points
# x y z type
 7.50272e-010  8.94678e-011  9.32021e-012 i
 7.50272e-010  9.45712e-011  4.92339e-012 i
 7.50272e-010  9.96747e-011  2.92633e-012 i
 7.50272e-010  1.04778e-010  2.57325e-013 i
 7.50272e-010  1.09882e-010 -3.54955e-012 i
 7.50272e-010  1.14985e-010 -5.53529e-012 i
 7.50272e-010  1.20089e-010 -7.67204e-012 i
 7.50272e-010  1.25192e-010 -1.07957e-011 i
 7.50272e-010  1.30295e-010 -1.26089e-011 i
 7.50272e-010  1.35399e-010 -1.42592e-011 i
 7.50272e-010  1.40502e-010 -1.66722e-011 i
 7.50272e-010  1.45606e-010 -1.81726e-011 i
 7.50272e-010  1.50709e-010 -1.9365e-011 i
 7.50272e-010  1.55813e-010 -2.10854e-011 i
 7.50272e-010  1.60916e-010 -2.21615e-011 i
 7.50272e-010  1.6602e-010 -2.29155e-011 i
 7.50272e-010  1.71123e-010 -2.39979e-011 i
 7.50272e-010  1.76227e-010 -2.45677e-011 i
 7.50272e-010  1.8133e-010 -2.48813e-011 i
 7.50272e-010  1.86433e-010 -2.54018e-011 i
 7.50272e-010  1.91537e-010 -2.54151e-011 i
 7.50272e-010  1.9664e-010 -2.52731e-011 i
 7.50272e-010  2.01744e-010 -2.53243e-011 i
 7.50272e-010  2.06847e-010 -2.47652e-011 i
 7.50272e-010  2.11951e-010 -2.41376e-011 i
 7.50272e-010  2.17054e-010 -2.3821e-011 i
 7.50272e-010  2.22158e-010 -2.27127e-011 i
 7.50272e-010  2.27261e-010 -2.15684e-011 i
 7.50272e-010  2.32365e-010 -2.09933e-011 i
 7.50272e-010  2.37468e-010 -1.94036e-011 i
 7.50272e-010  2.42571e-010 -1.77129e-011 i
 7.50272e-010  2.47675e-010 -1.69877e-011 i
 7.50272e-010  2.52778e-010 -1.5034e-011 i
 7.50272e-010  2.57882e-010 -1.27921e-011 i
 7.50272e-010  2.62985e-010 -1.20247e-011 i
 7.50272e-010  2.68089e-010 -9.87402e-012 i
 7.50272e-010  2.73192e-010 -7.10137e-012 i
 7.50272e-010  2.78296e-010 -6.38113e-012 i
 7.50272e-010  2.83399e-010 -4.24364e-012 i
 7.50272e-010  2.88503e-010 -1.01707e-012 i
 7.50272e-010  2.93606e-010 -4.239e-013 i
 7.50272e-010  2.98709e-010  1.46164e-012 i
 7.50272e-010  3.03813e-010  5.02074e-012 i
 7.50272e-010  3.08916e-010  5.44464e-012 i
 7.50272e-010  3.1402e-010  6.8359e-012 i
 7.50272e-010  3.19123e-010  1.05352e-011 i
 7.50272e-010  3.24227e-010  1.07548e-011 i
 7.50272e-010  3.2933e-010  1.14325e-011 i
 7.50272e-010  3.34434e-010  1.50428e-011 i
 7.50272e-010  3.39537e-010  1.50658e-011 i
 7.50272e-010  3.44641e-010  1.48692e-011 i
 7.50272e-010  3.49744e-010  1.81159e-011 i
 7.50272e-010  3.54847e-010  1.79346e-011 i
 7.50272e-010  3.59951e-010  1.67814e-011 i
 7.50272e-010  3.65054e-010  1.93987e-011 i
 7.50272e-010  3.70158e-010  1.90338e-011 i
 7.50272e-010  3.75261e-010  1.69472e-011 i
 7.50272e-010  3.80365e-010  1.86873e-011 i
 7.50272e-010  3.85468e-010  1.81162e-011 i
 7.50272e-010  3.90572e-010  1.52169e-011 i
 7.50272e-010  3.95675e-010  1.59068e-011 i
 7.50272e-010  4.00779e-010  1.51176e-011 i
 7.50272e-010  4.05882e-010  1.16271e-011 i
 7.50272e-010  4.10985e-010  1.11797e-011 i
 7.50272e-010  4.16089e-010  1.01103e-011 i
 7.50272e-010  4.21192e-010  6.30921e-012 i
 7.50272e-010  4.26296e-010  4.75657e-012 i
 7.50272e-010  4.31399e-010  3.35531e-012 i
 7.50272e-010  4.36503e-010 -4.3494e-013 i
 7.50272e-010  4.41606e-010 -2.94802e-012 i
 7.50272e-010  4.4671e-010 -4.75357e-012 i
 7.50272e-010  4.51813e-010 -8.22695e-012 i
 7.50272e-010  4.56917e-010 -1.14479e-011 i
 7.50272e-010  4.6202e-010 -1.37014e-011 i
 7.50272e-010  4.67123e-010 -1.65919e-011 i
 7.50272e-010  4.72227e-010 -2.01908e-011 i
 7.50272e-010  4.7733e-010 -2.29073e-011 i
 7.50272e-010  4.82434e-010 -2.50268e-011 i
 7.50272e-010  4.87537e-010 -2.86324e-011 i
 7.50272e-010  4.92641e-010 -3.1782e-011 i
 7.50272e-010  4.97744e-010 -3.3037e-011 i
