n	ch1	ch2
2.74	0.0104	76
2.75	0.01032	76
2.76	0.00992	76
2.77	0.01	76
2.78	0.01016	76
2.79	0.01056	76
2.8	0.00992	76
2.81	0.01048	75.6
2.82	0.01072	76
2.83	0.01024	75.6
2.84	0.01064	76
2.85	0.01	76
2.86	0.01	76.4
2.87	0.00936	76
2.88	0.01104	75.6
2.89	0.00968	76
2.9	0.01016	76
2.91	0.01024	76.4
2.92	0.01088	76
2.93	0.01072	76
2.94	0.01024	76
2.95	0.01016	76
2.96	0.01056	76
2.97	0.00992	76
2.98	0.01048	76
2.99	0.00992	76.4
3	0.01024	76
3.01	0.01048	76.4
3.02	0.0104	76.4
3.03	0.01024	76.4
3.04	0.01064	76
3.05	0.01	76
3.06	0.01064	76
3.07	0.00984	76
3.08	0.01024	76
3.09	0.00984	76
3.1	0.01024	76.4
3.11	0.01	76.4
3.12	0.00992	76
3.13	0.01016	76
3.14	0.01048	75.6
3.15	0.01064	76.4
3.16	0.01024	76
3.17	0.00992	76.4
3.18	0.01072	76
3.19	0.0104	76.4
3.2	0.01032	76
3.21	0.01	76.4
3.22	0.01	76.4
3.23	0.01032	76.4
3.24	0.00992	76
3.25	0.01	76.4
3.26	0.01024	75.6
3.27	0.01048	76.4
3.28	0.01008	76
3.29	0.01032	76.4
3.3	0.01032	75.6
3.31	0.00968	76.4
3.32	0.01016	76
3.33	0.01008	76
3.34	0.01024	76
3.35	0.01024	76.4
3.36	0.00992	75.6
3.37	0.01024	76
3.38	0.0104	76
3.39	0.00976	76
3.4	0.01048	75.6
3.41	0.01	76
3.42	0.00976	75.6
3.43	0.01064	76
3.44	0.01096	76
3.45	0.01	76.4
3.46	0.01024	76
3.47	0.01	76.4
3.48	0.0104	76
3.49	0.01008	76
3.5	0.01064	76
3.51	0.00968	76
3.52	0.01024	76
3.53	0.01008	75.6
3.54	0.01032	76
3.55	0.01024	76.4
3.56	0.01032	75.6
3.57	0.00992	76
3.58	0.01048	76.4
3.59	0.01024	76
3.6	0.0104	75.6
3.61	0.00976	75.6
3.62	0.01024	76
3.63	0.01016	76
3.64	0.0108	76
3.65	0.01024	76
3.66	0.01048	76
3.67	0.00984	76
3.68	0.01048	75.6
3.69	0.01024	75.6
3.7	0.01024	76
3.71	0.01016	75.6
3.72	0.01016	75.6
3.73	0.01024	75.6
3.74	0.01024	76
3.75	0.01048	75.6
3.76	0.01	75.6
3.77	0.00992	75.6
3.78	0.01056	76
3.79	0.01048	75.6
3.8	0.01024	75.6
3.81	0.01008	75.6
3.82	0.01008	75.6
3.83	0.00992	75.6
3.84	0.01032	75.6
3.85	0.01048	75.6
3.86	0.01008	76
3.87	0.01	76
3.88	0.00992	76
3.89	0.00992	75.6
3.9	0.01032	76
3.91	0.01	76
3.92	0.0104	75.6
3.93	0.00984	75.2
3.94	0.01024	75.6
3.95	0.01048	76
3.96	0.0104	75.6
3.97	0.01048	75.6
3.98	0.01048	75.6
3.99	0.00992	75.6
4	0.01032	76
4.01	0.00992	75.6
4.02	0.01048	75.2
4.03	0.00992	75.2
4.04	0.01016	75.6
4.05	0.01048	75.2
4.06	0.01064	75.2
4.07	0.01016	75.6
4.08	0.01072	75.2
4.09	0.01024	75.2
4.1	0.0108	75.6
4.11	0.01	75.2
4.12	0.01048	75.2
4.13	0.01032	75.2
4.14	0.01056	75.6
4.15	0.01024	75.2
4.16	0.01048	76
4.17	0.00992	75.2
4.18	0.01056	75.6
4.19	0.00992	75.6
4.2	0.01056	75.6
4.21	0.01024	75.6
4.22	0.01032	75.6
4.23	0.00984	75.6
4.24	0.01072	75.6
4.25	0.01024	75.2
4.26	0.01088	75.6
4.27	0.01024	75.6
4.28	0.01016	75.6
4.29	0.01024	75.6
4.3	0.01064	75.6
4.31	0.00984	75.2
4.32	0.01032	75.2
4.33	0.01024	75.2
4.34	0.01032	75.2
4.35	0.01024	75.2
4.36	0.01024	75.6
4.37	0.01024	75.2
4.38	0.01032	75.2
4.39	0.00992	75.2
4.4	0.01088	75.6
4.41	0.01032	75.2
4.42	0.01072	75.2
