n	ch1	ch2
11.23	0.00952	81.6
11.24	0.00944	80.8
11.25	0.00992	82.4
11.26	0.0096	81.6
11.27	0.00944	82
11.28	0.00992	82
11.29	0.00928	82.4
11.3	0.00984	82.4
11.31	0.00968	82.8
11.32	0.00944	82.8
11.33	0.00944	82.4
11.34	0.00992	82
11.35	0.00984	82.4
11.36	0.00968	82.4
11.37	0.00952	82.8
11.38	0.00952	82.4
11.39	0.00912	82.8
11.4	0.00992	82.8
11.41	0.00944	82.8
11.42	0.0096	82.8
11.43	0.01008	82.8
11.44	0.00968	82.8
11.45	0.00944	83.6
11.46	0.00968	83.2
11.47	0.00976	83.2
11.48	0.00936	83.6
11.49	0.00968	84
11.5	0.00928	82.8
11.51	0.00976	83.6
11.52	0.0092	83.6
11.53	0.00952	83.6
11.54	0.00984	83.6
11.55	0.00928	84
11.56	0.00928	84.4
11.57	0.00992	84
11.58	0.00984	84
11.59	0.00968	84.8
11.6	0.00968	84.4
11.61	0.00944	84.8
11.62	0.01008	84.4
11.63	0.00936	84.4
11.64	0.00968	85.2
11.65	0.0096	85.2
11.66	0.00944	84.8
11.67	0.00976	84.8
11.68	0.00968	85.2
11.69	0.0096	84.8
11.7	0.00944	85.2
11.71	0.00928	85.2
11.72	0.00952	85.2
11.73	0.00968	84.8
11.74	0.00968	85.6
11.75	0.0096	86
11.76	0.00944	85.6
11.77	0.00968	85.6
11.78	0.00944	85.2
11.79	0.00936	86
11.8	0.00928	86.4
11.81	0.00952	86.4
11.82	0.00944	86.4
11.83	0.00968	86.4
11.84	0.00928	87.2
11.85	0.00944	86.8
11.86	0.00944	86.8
11.87	0.00928	86.4
11.88	0.00912	86.8
11.89	0.00992	86.8
11.9	0.00936	86.4
11.91	0.00992	86.8
11.92	0.0096	86.8
11.93	0.00904	87.2
11.94	0.00936	87.2
11.95	0.0096	86.8
11.96	0.00936	87.6
11.97	0.00992	86.8
11.98	0.00984	88
11.99	0.00944	87.2
12	0.00928	87.6
12.01	0.00952	87.6
12.02	0.00952	87.6
12.03	0.00936	87.6
12.04	0.00936	87.6
12.05	0.00936	87.6
12.06	0.0092	87.6
12.07	0.00888	87.2
12.08	0.00944	88
12.09	0.00904	88
12.1	0.00944	88.4
12.11	0.00928	87.6
12.12	0.00904	88.4
12.13	0.00928	88.4
12.14	0.00944	88.8
12.15	0.00912	88
12.16	0.00944	88.8
12.17	0.00888	89.6
12.18	0.00928	89.2
12.19	0.0096	88.8
12.2	0.00968	89.2
12.21	0.00976	89.2
12.22	0.0092	89.2
12.23	0.00912	88.4
12.24	0.00968	89.2
12.25	0.0092	88.8
12.26	0.00968	89.2
12.27	0.0092	89.6
12.28	0.00944	89.6
12.29	0.00904	89.6
12.3	0.00904	89.6
12.31	0.00944	89.2
12.32	0.00968	90
12.33	0.00912	90
12.34	0.00944	90.4
12.35	0.00888	89.6
12.36	0.00928	90
12.37	0.00912	90.4
12.38	0.0092	90.8
12.39	0.0092	90
12.4	0.00888	90.8
12.41	0.00936	90.8
12.42	0.00944	90.4
12.43	0.00928	90
12.44	0.00952	90.4
12.45	0.00904	90.8
12.46	0.00928	90.8
12.47	0.0092	90.8
12.48	0.00912	91.2
12.49	0.00888	90.8
12.5	0.00968	91.2
12.51	0.00912	91.2
12.52	0.00896	91.6
12.53	0.00944	91.6
12.54	0.00944	91.2
12.55	0.00912	91.2
12.56	0.00912	92
12.57	0.00904	92.4
12.58	0.00944	91.6
12.59	0.00912	92
12.6	0.00912	92
12.61	0.00928	92
12.62	0.00904	92
12.63	0.00888	92
12.64	0.0088	92
12.65	0.00912	91.6
12.66	0.00872	92.8
12.67	0.00968	92.4
12.68	0.00936	92.4
12.69	0.00928	92.4
12.7	0.00912	92.8
12.71	0.00832	92.8
12.72	0.00896	92.8
12.73	0.00912	93.2
12.74	0.00928	92.8
12.75	0.00944	92.8
12.76	0.00944	93.6
12.77	0.00912	93.2
12.78	0.00912	93.6
12.79	0.00888	93.6
12.8	0.00936	93.2
12.81	0.0092	93.2
12.82	0.00928	93.6
12.83	0.00896	93.6
12.84	0.00912	92.8
12.85	0.00936	94
12.86	0.00904	94
12.87	0.00888	93.6
12.88	0.00904	94
12.89	0.00912	94
12.9	0.00928	94
12.91	0.00856	94
12.92	0.00904	94.4
12.93	0.00904	94.4
12.94	0.00888	94.4
12.95	0.00928	94.8
12.96	0.00976	80.8
12.97	0.00984	80.8
12.98	0.00968	80.8
12.99	0.00888	81.2
13	0.00952	80.8
13.01	0.0092	80.4
13.02	0.00984	81.2
13.03	0.00968	80.8
13.04	0.01016	80.4
13.05	0.00992	81.2
13.06	0.0096	81.2
13.07	0.00952	80.4
13.08	0.00944	80.4
13.09	0.0096	81.2
13.1	0.00992	80.8
13.11	0.00968	80.8
13.12	0.00968	80.8
13.13	0.00976	81.6
13.14	0.00976	81.2
13.15	0.00992	81.6
13.16	0.00936	80.8
13.17	0.00936	81.2
13.18	0.00944	81.2
13.19	0.00968	81.6
13.2	0.0096	81.2
13.21	0.00944	81.6
13.22	0.00968	80.8
13.23	0.00968	81.2
13.24	0.00944	80.4
13.25	0.00952	81.6
13.26	0.0096	81.2
13.27	0.00968	81.6
13.28	0.00968	81.2
13.29	0.00984	82
13.3	0.00968	81.2
13.31	0.0092	81.6
13.32	0.0096	81.2
13.33	0.00984	81.6
13.34	0.0092	82
13.35	0.00904	82.4
13.36	0.00976	82
13.37	0.00952	81.6
13.38	0.00984	81.6
13.39	0.00944	82
13.4	0.00912	81.6
13.41	0.00928	82
13.42	0.0096	81.6
13.43	0.00912	81.6
13.44	0.00944	82
13.45	0.00944	82
13.46	0.00912	82
13.47	0.0096	82
13.48	0.00968	82
13.49	0.00888	82
13.5	0.00912	82
13.51	0.01	82.8
13.52	0.00992	82.4
13.53	0.00984	82.4
13.54	0.00944	81.6
13.55	0.00936	82.8
13.56	0.00944	82.4
13.57	0.0096	82
13.58	0.00968	82.4
13.59	0.00928	82.8
13.6	0.00912	82
13.61	0.00928	82.8
13.62	0.00952	82.4
13.63	0.00952	82.8
13.64	0.00944	82.4
13.65	0.00928	82.4
13.66	0.00952	82
13.67	0.00896	82.8
13.68	0.0096	82.8
13.69	0.0096	82.8
13.7	0.00984	82.8
13.71	0.00904	82.8
13.72	0.0096	82.8
13.73	0.00928	82.8
13.74	0.00968	82.8
13.75	0.00944	83.2
13.76	0.00992	82.8
13.77	0.00968	83.6
13.78	0.00984	83.6
13.79	0.00888	84
13.8	0.00904	83.2
13.81	0.01032	83.6
13.82	0.00928	84
13.83	0.00968	84
13.84	0.00944	83.2
13.85	0.0092	84
13.86	0.00904	84
13.87	0.00968	83.6
13.88	0.00936	83.6
13.89	0.00928	84
13.9	0.00928	84
13.91	0.00944	84
13.92	0.00984	84
13.93	0.00912	84
13.94	0.00944	84.4
13.95	0.00912	84
13.96	0.00944	84
13.97	0.00856	84
13.98	0.00968	84.4
13.99	0.00944	84
14	0.00992	84.4
14.01	0.00944	84.4
14.02	0.00968	84.4
14.03	0.00904	84.8
14.04	0.00912	84.8
14.05	0.00944	84.4
14.06	0.00944	84.8
14.07	0.0092	84.4
14.08	0.00936	84.4
14.09	0.00896	84.4
14.1	0.00976	85.2
14.11	0.00904	85.2
14.12	0.00912	84.8
14.13	0.0096	84.8
14.14	0.00952	85.2
14.15	0.00944	84.8
14.16	0.00944	85.2
14.17	0.00904	85.2
14.18	0.0092	85.2
14.19	0.00928	84.8
14.2	0.00944	85.2
14.21	0.00912	85.2
14.22	0.0092	85.6
14.23	0.00888	85.6
14.24	0.00912	85.6
14.25	0.0092	85.2
14.26	0.00888	85.6
14.27	0.00928	85.2
14.28	0.00944	85.6
14.29	0.00904	85.2
14.3	0.00968	85.6
14.31	0.00928	85.2
14.32	0.00912	85.6
14.33	0.00912	85.6
14.34	0.00984	85.6
14.35	0.00936	85.6
14.36	0.00848	86
14.37	0.00952	85.6
14.38	0.00968	86
14.39	0.0092	85.6
14.4	0.00944	86
14.41	0.00912	85.6
14.42	0.00904	86.4
14.43	0.00856	86.4
14.44	0.00896	86.4
14.45	0.00928	86.4
14.46	0.0092	86.8
14.47	0.00912	86.8
14.48	0.00896	86.4
14.49	0.0096	86.4
14.5	0.00912	86.4
14.51	0.00896	86.4
14.52	0.00944	86.4
14.53	0.00944	86.4
14.54	0.00968	86.8
14.55	0.00896	86.8
14.56	0.00896	86.8
14.57	0.00832	86.8
14.58	0.00944	86.8
14.59	0.00896	86.4
14.6	0.00936	87.2
14.61	0.0088	86.8
14.62	0.0092	86.8
14.63	0.00936	86.8
14.64	0.00952	87.2
14.65	0.00848	87.2
14.66	0.00896	87.6
14.67	0.00864	87.6
14.68	0.00888	87.6
14.69	0.00944	87.2
14.7	0.00936	87.6
14.71	0.0088	87.2
14.72	0.00872	87.6
14.73	0.00856	87.2
14.74	0.00912	87.6
14.75	0.00968	87.6
14.76	0.00856	87.6
14.77	0.00888	87.6
14.78	0.0088	88
14.79	0.00912	88
14.8	0.00864	87.6
14.81	0.0092	88
14.82	0.00912	88.4
14.83	0.00912	88
14.84	0.00936	88
14.85	0.00944	88
14.86	0.00912	88
14.87	0.00944	88
14.88	0.00896	88.4
14.89	0.00888	88.4
14.9	0.00888	88.4
14.91	0.00848	88.4
14.92	0.00888	88.8
14.93	0.00904	88.4
14.94	0.00912	88.4
14.95	0.00912	88.8
14.96	0.00888	88.4
14.97	0.00832	88
14.98	0.00944	88.8
14.99	0.00888	89.2
15	0.00904	89.2
15.01	0.00912	88.8
15.02	0.00936	89.2
15.03	0.00888	88.8
15.04	0.00904	89.2
15.05	0.00936	89.2
15.06	0.0092	89.2
15.07	0.00888	89.2
15.08	0.00968	89.6
15.09	0.00824	89.6
15.1	0.0088	89.2
15.11	0.00864	89.2
15.12	0.00896	89.2
15.13	0.00888	89.6
15.14	0.00928	89.6
15.15	0.00888	89.6
15.16	0.00888	89.6
15.17	0.00872	89.6
15.18	0.00848	90
15.19	0.00888	90
15.2	0.00888	89.6
15.21	0.0092	89.6
15.22	0.00856	90
15.23	0.00912	90.4
15.24	0.00888	90
15.25	0.00888	90
15.26	0.00888	90
15.27	0.00912	90
15.28	0.00888	90.4
15.29	0.00904	90.4
15.3	0.0088	90.4
15.31	0.00944	90.4
15.32	0.00912	90.4
15.33	0.0088	90.8
15.34	0.00896	90.4
15.35	0.00904	90.8
15.36	0.00872	90.4
15.37	0.0092	90.8
15.38	0.00832	90.4
15.39	0.00896	90.4
15.4	0.00848	90.4
15.41	0.00888	90.8
15.42	0.00928	90.8
15.43	0.00904	91.2
15.44	0.00936	91.2
15.45	0.00928	90.8
15.46	0.00856	90.8
15.47	0.00904	91.6
15.48	0.00888	91.2
15.49	0.00912	91.2
15.5	0.0092	90.8
15.51	0.0088	91.2
15.52	0.00856	91.2
15.53	0.0088	91.6
15.54	0.00904	91.6
15.55	0.00888	91.6
15.56	0.00888	91.6
15.57	0.00912	91.6
15.58	0.00888	91.2
15.59	0.0088	91.6
15.6	0.00888	91.6
15.61	0.00872	91.6
15.62	0.00896	91.6
15.63	0.00872	91.6
15.64	0.00848	91.6
15.65	0.00912	91.6
15.66	0.00912	91.2
15.67	0.00904	92
15.68	0.00912	92
15.69	0.00888	92
15.7	0.00912	91.6
15.71	0.00864	91.6
15.72	0.0092	92
15.73	0.00904	92
15.74	0.00848	92
15.75	0.0088	92.4
15.76	0.00864	92
15.77	0.00904	92.4
15.78	0.00872	92.4
15.79	0.0088	92.8
15.8	0.00872	92.4
15.81	0.00888	92.8
15.82	0.00912	92.4
15.83	0.00832	92.4
15.84	0.00888	92.4
15.85	0.00904	92.4
15.86	0.00904	92.4
15.87	0.00856	92.8
15.88	0.00912	92.4
15.89	0.00856	92.8
15.9	0.0088	92.8
15.91	0.00856	93.2
15.92	0.00912	92.8
15.93	0.0088	92.8
15.94	0.00872	92.8
15.95	0.00832	92.8
15.96	0.00912	93.2
15.97	0.00856	93.2
15.98	0.00856	92.8
15.99	0.00856	93.2
16	0.00896	93.2
16.01	0.00872	93.2
16.02	0.0088	92.8
16.03	0.00896	93.2
16.04	0.00832	93.2
16.05	0.00864	93.2
16.06	0.00832	93.2
16.07	0.00856	94
16.08	0.00936	93.2
16.09	0.00832	93.2
16.1	0.00888	93.6
16.11	0.00856	93.6
16.12	0.00864	93.6
16.13	0.00856	94
16.14	0.00848	93.6
16.15	0.0088	94
16.16	0.00904	94
16.17	0.00888	94
16.18	0.00856	94
16.19	0.00888	94
16.2	0.00856	94
16.21	0.00912	94
16.22	0.00856	94
16.23	0.00856	94.4
16.24	0.00848	94.4
16.25	0.00864	94
16.26	0.00864	94
16.27	0.00856	94.4
16.28	0.00872	94
16.29	0.00872	94.4
16.3	0.00848	94.4
16.31	0.00888	94
16.32	0.00848	94.4
16.33	0.00864	94.4
16.34	0.00912	94.4
16.35	0.00856	94.8
16.36	0.00904	94.8
16.37	0.00864	94.4
16.38	0.00888	94.8
16.39	0.00824	94.8
16.4	0.00872	94.8
16.41	0.0084	94.8
16.42	0.00856	94.8
16.43	0.00856	94.8
16.44	0.00912	94.8
16.45	0.0084	94.8
16.46	0.00912	94.8
16.47	0.00816	94.4
16.48	0.00824	94.8
16.49	0.00856	94.8
16.5	0.00856	94.8
16.51	0.00864	94.8
16.52	0.00856	95.2
16.53	0.00816	94.8
16.54	0.0088	95.2
16.55	0.00864	95.2
16.56	0.00856	95.2
16.57	0.00888	95.2
16.58	0.00856	95.2
16.59	0.00824	95.2
16.6	0.00904	95.2
16.61	0.00816	95.2
16.62	0.00832	95.2
16.63	0.00888	95.2
16.64	0.00832	95.2
16.65	0.00816	95.2
16.66	0.00832	95.6
16.67	0.00864	95.2
16.68	0.00848	95.2
16.69	0.00856	95.6
16.7	0.00888	95.6
16.71	0.00856	95.2
16.72	0.00816	95.6
16.73	0.00832	95.6
16.74	0.00848	96
16.75	0.0088	95.6
16.76	0.00856	95.6
16.77	0.00896	95.6
16.78	0.00856	96
16.79	0.00856	96
16.8	0.00904	96
16.81	0.00848	95.6
16.82	0.00856	96
16.83	0.00816	95.6
16.84	0.00872	96
16.85	0.00848	96
16.86	0.00816	96
16.87	0.00872	95.6
16.88	0.00832	96
16.89	0.00888	96
16.9	0.0084	96.4
16.91	0.00888	96
16.92	0.00896	96.4
16.93	0.00824	96.4
16.94	0.00864	96
16.95	0.0088	95.6
16.96	0.00912	96.4
16.97	0.00904	96
16.98	0.00888	96.4
16.99	0.00872	96.4
17	0.00856	96.4
17.01	0.00856	96
17.02	0.00856	96.4
17.03	0.0084	96
17.04	0.00888	96.4
17.05	0.00848	96.4
17.06	0.00856	96.4
17.07	0.00896	96.4
17.08	0.0088	96.4
17.09	0.00856	96.4
17.1	0.00832	96.4
17.11	0.00856	96.4
17.12	0.00912	96.4
17.13	0.0088	96.4
17.14	0.00848	96.4
17.15	0.00864	96.4
17.16	0.00864	96.8
17.17	0.00784	96.8
17.18	0.00864	96.8
17.19	0.00832	96.4
17.2	0.00848	96.8
17.21	0.0084	96.8
17.22	0.00888	96.8
17.23	0.00872	96.8
17.24	0.0084	96.8
17.25	0.0084	96.8
17.26	0.00872	96.8
17.27	0.0084	96.8
17.28	0.00832	96.8
17.29	0.00896	96.8
17.3	0.0088	96.8
17.31	0.00848	96.8
17.32	0.00888	96.8
17.33	0.00856	96.8
17.34	0.00856	96.8
17.35	0.00848	96.8
17.36	0.00872	97.2
17.37	0.00856	97.2
17.38	0.00832	96.8
17.39	0.00856	96.8
17.4	0.0088	97.2
17.41	0.0084	97.2
17.42	0.00832	96.8
17.43	0.00848	97.2
17.44	0.00864	97.2
17.45	0.00856	97.2
17.46	0.00872	97.2
17.47	0.00824	97.2
17.48	0.00856	97.2
17.49	0.0084	97.2
17.5	0.00856	97.2
17.51	0.00856	97.2
17.52	0.00832	96.8
17.53	0.0084	97.2
17.54	0.00816	97.2
17.55	0.00832	97.2
17.56	0.00848	97.2
17.57	0.00848	97.2
17.58	0.0084	97.2
17.59	0.00816	97.2
17.6	0.00816	97.2
17.61	0.008	97.6
17.62	0.00872	97.6
17.63	0.00816	97.6
17.64	0.00832	97.6
17.65	0.00888	97.2
17.66	0.00816	97.2
17.67	0.00856	97.6
17.68	0.0084	97.6
17.69	0.00864	97.6
17.7	0.00832	97.2
17.71	0.00848	97.6
17.72	0.00888	97.2
17.73	0.00872	97.6
17.74	0.00848	97.6
17.75	0.00864	97.2
17.76	0.00888	97.2
17.77	0.00816	97.6
17.78	0.0092	97.2
17.79	0.00816	97.6
17.8	0.0084	97.2
17.81	0.00808	97.6
17.82	0.0084	97.2
17.83	0.00888	97.6
17.84	0.00896	97.6
17.85	0.00832	97.6
17.86	0.00856	97.6
17.87	0.00832	97.6
17.88	0.00792	97.6
17.89	0.00832	97.2
17.9	0.00832	97.2
17.91	0.00872	97.6
17.92	0.0084	97.2
17.93	0.00824	97.2
17.94	0.0084	97.6
17.95	0.00784	97.6
17.96	0.00824	97.6
17.97	0.00888	97.2
17.98	0.00856	97.6
17.99	0.008	97.6
18	0.00848	97.2
18.01	0.00864	97.6
18.02	0.00904	97.2
18.03	0.00856	97.2
18.04	0.00824	97.2
18.05	0.00824	97.6
18.06	0.00824	97.2
18.07	0.00856	97.6
18.08	0.00848	97.6
18.09	0.00856	97.6
18.1	0.00856	97.2
18.11	0.00792	97.6
18.12	0.00848	97.6
18.13	0.00912	97.2
18.14	0.00824	97.2
18.15	0.00864	97.6
18.16	0.00816	97.6
18.17	0.0088	97.6
18.18	0.0084	97.6
18.19	0.008	98
18.2	0.008	97.6
18.21	0.0084	97.6
18.22	0.00872	97.6
18.23	0.0088	97.6
18.24	0.00856	97.2
18.25	0.0084	97.6
18.26	0.00872	97.2
18.27	0.00816	97.6
18.28	0.00912	97.2
18.29	0.00856	97.2
18.3	0.00824	97.2
18.31	0.00864	97.6
18.32	0.00816	97.2
18.33	0.00824	97.2
18.34	0.00824	97.2
18.35	0.00864	97.6
18.36	0.00824	97.6
18.37	0.00832	97.2
18.38	0.00872	97.6
18.39	0.00832	97.6
18.4	0.0084	97.2
18.41	0.00912	97.2
18.42	0.00872	97.6
18.43	0.00848	97.2
18.44	0.00856	97.2
18.45	0.00888	97.6
18.46	0.00856	97.2
18.47	0.00856	97.2
18.48	0.0088	97.6
18.49	0.00848	97.6
18.5	0.00856	97.2
18.51	0.00816	97.2
18.52	0.00848	97.2
18.53	0.00832	97.2
18.54	0.00824	97.6
18.55	0.00848	97.6
18.56	0.00816	97.2
18.57	0.00872	97.6
18.58	0.00872	97.6
18.59	0.00848	97.2
18.6	0.00848	97.2
18.61	0.00856	97.6
18.62	0.00856	97.6
18.63	0.008	97.6
18.64	0.0088	97.6
18.65	0.00832	97.6
18.66	0.00816	97.2
18.67	0.00872	97.2
18.68	0.00824	97.6
18.69	0.00832	97.2
18.7	0.00904	97.2
18.71	0.0084	97.6
18.72	0.00824	97.6
18.73	0.00808	97.2
18.74	0.00856	97.6
18.75	0.00856	97.6
18.76	0.00816	97.2
18.77	0.00856	97.2
18.78	0.00864	97.6
18.79	0.00912	97.6
18.8	0.00888	97.6
18.81	0.00816	97.2
18.82	0.00856	97.6
18.83	0.00872	97.2
18.84	0.00888	97.2
18.85	0.00912	97.6
18.86	0.00832	97.6
18.87	0.0084	97.2
18.88	0.008	97.6
18.89	0.00832	97.2
18.9	0.00888	97.2
18.91	0.00864	97.2
18.92	0.00816	97.2
18.93	0.00784	97.2
18.94	0.008	97.6
18.95	0.0088	97.2
18.96	0.00832	97.2
18.97	0.00888	97.6
18.98	0.00872	97.6
18.99	0.0084	97.2
19	0.00856	97.2
19.01	0.00824	97.6
19.02	0.00856	97.2
19.03	0.00888	97.2
19.04	0.00824	97.2
19.05	0.00832	97.6
19.06	0.00896	97.2
19.07	0.008	97.6
19.08	0.00864	97.2
19.09	0.00816	97.6
19.1	0.00888	97.6
19.11	0.0084	97.2
19.12	0.00832	97.6
19.13	0.00848	97.2
19.14	0.00816	97.6
19.15	0.00872	97.6
19.16	0.00864	97.6
19.17	0.00856	97.6
19.18	0.00872	97.6
19.19	0.00872	97.2
19.2	0.00888	97.2
19.21	0.00824	97.2
19.22	0.00888	97.6
19.23	0.00832	97.2
19.24	0.00864	97.6
19.25	0.008	98
19.26	0.0084	97.6
19.27	0.00832	97.2
19.28	0.0084	97.6
19.29	0.00808	97.2
19.3	0.0084	97.2
19.31	0.00848	97.6
19.32	0.0084	97.6
19.33	0.00808	97.6
19.34	0.00904	97.6
19.35	0.00848	97.2
19.36	0.00848	97.2
19.37	0.00856	97.6
19.38	0.0084	97.6
19.39	0.00832	97.2
19.4	0.00824	97.6
19.41	0.00824	97.6
19.42	0.00824	97.2
19.43	0.0084	97.2
19.44	0.00832	97.6
19.45	0.00856	97.2
19.46	0.00864	97.6
19.47	0.00832	97.6
19.48	0.00824	98
19.49	0.00856	97.2
19.5	0.0084	97.2
19.51	0.00832	97.6
19.52	0.00824	97.6
19.53	0.00848	97.6
19.54	0.00856	97.6
19.55	0.00864	97.6
19.56	0.00864	97.2
19.57	0.00832	97.6
19.58	0.00848	97.2
19.59	0.00832	97.2
19.6	0.0088	97.2
19.61	0.00832	97.6
19.62	0.00856	97.2
19.63	0.00816	97.2
19.64	0.00856	97.6
19.65	0.0084	97.6
19.66	0.00816	97.2
19.67	0.0084	97.6
19.68	0.00888	97.6
19.69	0.00816	97.6
19.7	0.00904	97.2
19.71	0.00832	97.6
19.72	0.0084	97.6
19.73	0.00832	97.2
19.74	0.00808	98
19.75	0.00816	97.2
19.76	0.00872	97.2
19.77	0.00784	97.6
19.78	0.00832	97.2
19.79	0.00816	97.6
19.8	0.00904	97.6
19.81	0.00872	97.6
19.82	0.0084	97.6
19.83	0.00888	97.2
19.84	0.00856	97.6
19.85	0.008	97.6
19.86	0.00864	97.2
19.87	0.00816	97.6
19.88	0.00912	97.6
19.89	0.00848	97.6
19.9	0.00848	96.8
19.91	0.00816	97.6
19.92	0.00864	97.2
19.93	0.00912	97.6
19.94	0.00824	97.6
19.95	0.0084	97.6
19.96	0.00824	97.2
19.97	0.00872	97.2
19.98	0.0084	97.2
19.99	0.008	97.6
20	0.008	97.6
20.01	0.00816	98
20.02	0.0088	97.6
20.03	0.00872	97.6
20.04	0.0084	97.2
20.05	0.0088	97.6
20.06	0.00856	97.2
20.07	0.00752	97.6
20.08	0.00856	97.2
20.09	0.00816	97.6
20.1	0.00864	97.6
20.11	0.00856	97.2
20.12	0.00832	97.6
20.13	0.00856	97.6
20.14	0.00832	97.6
20.15	0.00856	97.6
20.16	0.00848	97.6
20.17	0.00816	97.2
20.18	0.00776	97.2
20.19	0.00816	98
20.2	0.0084	97.6
20.21	0.00768	97.6
20.22	0.00888	97.2
20.23	0.00816	97.6
20.24	0.00816	97.2
20.25	0.008	97.6
20.26	0.00808	97.6
20.27	0.0084	97.6
20.28	0.00816	97.2
20.29	0.008	97.6
20.3	0.00832	97.2
20.31	0.0084	97.2
20.32	0.00792	97.6
20.33	0.00848	97.6
20.34	0.00848	97.6
20.35	0.00832	97.2
20.36	0.00808	97.6
20.37	0.00856	97.6
20.38	0.00888	97.6
20.39	0.0088	98
20.4	0.00888	97.6
20.41	0.00832	97.6
20.42	0.0084	97.2
20.43	0.00864	97.6
20.44	0.00832	97.6
20.45	0.00832	97.6
20.46	0.00832	97.6
20.47	0.00856	97.6
20.48	0.0084	97.6
20.49	0.00832	97.2
20.5	0.0088	97.2
20.51	0.00816	97.2
20.52	0.00832	97.6
20.53	0.0084	97.2
20.54	0.00816	97.6
20.55	0.00824	97.6
20.56	0.00856	97.2
20.57	0.008	97.6
20.58	0.008	97.6
20.59	0.00872	97.6
20.6	0.0084	97.2
20.61	0.00832	97.6
20.62	0.0088	97.2
20.63	0.00832	97.6
20.64	0.00832	97.6
20.65	0.00824	97.6
20.66	0.00848	98
20.67	0.0088	97.6
20.68	0.00856	97.2
20.69	0.008	97.6
20.7	0.00848	97.6
20.71	0.00832	97.6
20.72	0.00856	97.6
20.73	0.00872	97.6
20.74	0.00824	97.2
20.75	0.00808	97.6
20.76	0.00888	97.2
20.77	0.00856	97.2
20.78	0.00896	97.6
20.79	0.00896	97.6
20.8	0.00856	97.6
20.81	0.00832	97.6
20.82	0.0084	97.6
20.83	0.00832	97.6
20.84	0.00872	97.2
20.85	0.008	97.6
20.86	0.0088	97.6
20.87	0.00808	97.6
20.88	0.00864	97.2
20.89	0.00856	97.6
20.9	0.00856	97.6
20.91	0.00848	97.2
20.92	0.00832	97.6
20.93	0.00888	97.6
20.94	0.008	97.6
20.95	0.00864	97.2
20.96	0.00832	97.6
20.97	0.00816	97.6
20.98	0.00832	97.6
20.99	0.00856	97.2
21	0.00864	97.6
21.01	0.00832	97.6
21.02	0.0088	97.6
21.03	0.00872	97.6
21.04	0.00856	97.2
21.05	0.0084	97.6
21.06	0.00856	97.2
21.07	0.00832	97.2
21.08	0.00856	97.6
21.09	0.00832	97.6
21.1	0.00824	97.2
21.11	0.00816	97.6
21.12	0.0088	97.6
21.13	0.00864	97.6
21.14	0.00832	97.6
21.15	0.00856	97.2
21.16	0.00872	98
21.17	0.00856	97.6
21.18	0.00832	97.6
21.19	0.00848	97.2
21.2	0.00904	97.6
21.21	0.00856	97.6
21.22	0.00856	97.6
21.23	0.00856	97.2
21.24	0.00832	98
21.25	0.00832	97.6
21.26	0.00888	97.6
21.27	0.00912	97.6
21.28	0.00856	97.6
21.29	0.00888	97.2
21.3	0.00872	97.2
21.31	0.00816	97.2
21.32	0.00888	97.6
21.33	0.00832	97.2
21.34	0.0084	97.6
21.35	0.00872	97.6
21.36	0.0088	97.6
21.37	0.00832	97.6
21.38	0.00832	97.2
21.39	0.0084	97.6
21.4	0.00856	97.6
21.41	0.00824	97.2
21.42	0.00864	97.2
21.43	0.00856	97.6
21.44	0.00832	97.6
21.45	0.00888	97.6
21.46	0.0084	97.6
21.47	0.00832	97.6
21.48	0.00896	97.6
21.49	0.0088	97.2
21.5	0.0088	97.6
21.51	0.00856	98
21.52	0.00872	98
21.53	0.00816	97.2
21.54	0.00856	97.6
21.55	0.00912	97.6
21.56	0.00864	97.6
21.57	0.008	98
21.58	0.00904	98
21.59	0.00856	97.2
21.6	0.0084	97.6
21.61	0.00832	97.6
21.62	-0.00312	0.4
21.63	-0.00312	0.4
21.64	-0.00312	0.4
21.65	-0.00312	0.4
21.66	-0.00312	0.4
21.67	-0.00312	0.4
21.68	-0.00312	0.4
21.69	-0.00312	0.4
21.7	-0.00312	0.4
21.71	-0.00312	0.4
21.72	-0.00312	0.4
21.73	-0.00312	0.4
21.74	-0.00312	0.4
21.75	-0.00312	0.4
21.76	-0.00312	0.4
21.77	-0.00312	0.4
21.78	-0.00312	0.4
21.79	-0.00312	0.4
21.8	-0.00312	0.4
21.81	-0.00312	0.4
21.82	-0.00312	0.4
21.83	-0.00312	0.4
21.84	-0.00312	0.4
21.85	-0.00312	0.4
21.86	-0.00312	0.4
21.87	-0.00312	0.4
21.88	-0.00312	0.4
21.89	-0.00312	0.4
21.9	-0.00312	0.4
21.91	-0.00312	0.4
21.92	-0.00312	0.4
21.93	-0.00312	0.4
21.94	-0.00312	0.4
21.95	-0.00312	0.4
21.96	-0.00312	0.4
21.97	-0.00312	0.4
21.98	-0.00312	0.4
21.99	-0.00312	0.4
22	-0.00312	0.4
22.01	-0.00312	0.4
22.02	-0.00312	0.4
22.03	-0.00312	0.4
22.04	-0.00312	0.4
22.05	-0.00312	0.4
22.06	-0.00312	0.4
22.07	-0.00312	0.4
22.08	-0.00312	0.4
22.09	-0.00312	0.4
22.1	-0.00312	0.4
22.11	-0.00312	0.4
22.12	-0.00312	0.4
22.13	-0.00312	0.4
22.14	-0.00312	0.4
22.15	-0.00312	0.4
22.16	-0.00312	0.4
22.17	-0.00312	0.4
