p	I1 / %
218	19.4
219	19.2
220	18.9
221	18.8
222	18.8
223	18.8
224	18.8
225	19.2
226	19.9
227	20.8
228	21.5
229	21.8
230	21.8
231	21.8
232	22.1
233	22.2
234	21.9
235	21.5
236	21.0
237	20.8
238	20.8
239	20.9
240	20.9
241	20.9
242	21.3
243	22.1
244	23.1
245	23.8
246	23.8
247	23.8
248	23.8
249	24.1
250	24.0
251	23.7
252	23.3
253	22.9
254	22.6
255	22.7
256	22.9
257	22.9
258	23.0
259	23.3
260	24.1
261	25.2
262	26.0
263	26.4
264	26.3
265	26.1
266	26.2
267	26.3
268	26.1
269	25.7
270	25.1
271	24.6
272	24.4
273	24.5
274	24.5
275	24.5
276	24.6
277	25.0
278	25.8
279	26.7
280	27.1
281	27.3
282	27.3
283	27.5
284	27.8
285	28.0
286	27.8
287	27.1
288	26.3
289	25.6
290	25.4
291	25.5
292	25.5
293	25.5
294	25.6
295	26.0
296	27.1
297	28.4
298	29.6
299	29.9
300	29.9
301	29.8
302	29.9
303	30.0
304	29.8
305	29.2
306	28.2
307	27.4
308	26.9
309	26.9
310	27.1
311	27.2
312	27.1
313	27.1
314	27.5
315	28.7
316	30.3
317	31.3
318	31.7
319	31.6
320	31.6
321	31.6
322	31.6
323	31.2
324	30.4
325	29.1
326	27.9
327	27.3
328	27.2
329	27.6
330	27.8
331	27.6
332	27.4
333	27.8
334	28.9
335	30.7
336	32.3
337	33.2
338	33.2
339	32.9
340	32.9
341	33.0
342	33.0
343	32.5
344	31.4
345	30.2
346	29.0
347	28.4
348	28.4
349	28.7
350	28.7
351	28.5
352	28.2
353	28.6
354	29.8
355	31.7
356	33.3
357	34.0
358	33.8
359	33.5
360	33.4
361	33.6
362	33.8
363	33.4
364	32.6
365	31.4
366	30.2
367	29.4
368	29.2
369	29.5
370	29.7
371	29.7
372	29.6
373	29.6
374	30.1
375	31.7
376	33.6
377	35.0
378	35.4
379	35.1
380	34.5
381	34.1
382	34.2
383	34.3
384	33.9
385	32.9
386	31.5
387	30.3
388	29.6
389	29.4
390	29.5
391	29.8
392	29.9
393	29.9
394	29.9
395	30.4
396	31.5
397	33.6
398	35.6
399	36.8
400	36.9
401	36.5
402	35.8
403	35.4
404	35.5
405	35.5
406	34.9
407	33.8
408	32.5
409	31.2
410	30.4
411	30.1
412	30.1
413	30.4
414	30.3
415	30.0
416	29.8
417	30.1
418	31.2
419	33.2
420	35.5
421	37.3
422	37.9
423	37.6
424	36.9
425	36.4
426	36.2
427	36.3
428	36.2
429	35.4
430	34.2
431	32.8
432	31.2
433	30.3
434	29.8
435	29.9
436	30.4
437	30.8
438	30.6
439	30.6
440	31.0
441	32.1
442	34.3
443	37.0
444	39.0
445	39.9
446	39.5
447	38.7
448	37.7
449	37.3
450	37.5
451	37.9
452	37.5
453	36.5
454	34.9
455	33.2
456	31.7
457	30.8
458	30.5
459	31.0
460	31.7
461	32.1
462	32.0
463	31.7
464	31.7
465	32.5
466	34.4
467	37.3
468	39.9
469	41.2
470	41.2
471	40.0
472	38.3
473	37.1
474	36.8
475	37.5
476	37.9
477	37.2
478	36.0
479	34.4
480	32.8
481	31.4
482	30.4
483	30.1
484	30.5
485	31.3
486	31.9
487	32.0
488	31.8
489	31.8
490	32.4
491	34.3
492	37.3
493	40.7
494	42.8
495	43.2
496	42.4
497	41.0
498	39.7
499	39.0
500	39.2
501	40.0
502	40.4
503	39.9
504	38.3
505	36.0
506	33.6
507	31.6
508	30.5
509	30.3
510	31.0
511	32.2
512	33.7
513	33.7
514	33.4
515	33.0
516	32.7
517	33.4
518	35.4
519	39.0
520	42.6
521	44.6
522	44.7
523	43.5
524	42.0
525	40.5
526	39.8
527	40.0
528	41.0
529	41.8
530	41.6
531	40.2
532	38.0
533	35.5
534	33.1
535	31.4
536	30.7
537	31.1
538	32.3
539	33.8
540	34.8
541	34.9
542	34.5
543	33.9
544	33.6
545	34.3
546	36.3
547	39.8
548	43.6
549	46.3
550	47.1
551	46.2
552	44.4
553	42.5
554	40.9
555	40.3
556	40.8
557	42.1
558	43.1
559	42.8
560	41.1
561	38.6
562	35.8
563	33.5
564	31.5
565	30.6
566	30.5
567	31.6
568	33.3
569	34.9
570	35.6
571	35.7
572	35.3
573	34.7
574	34.4
575	35.1
576	37.0
577	40.5
578	44.6
579	47.8
580	49.0
581	48.2
582	46.4
583	44.3
584	42.3
585	41.0
586	40.6
587	41.4
588	42.8
589	43.7
590	43.1
591	41.1
592	38.3
593	35.5
594	33.0
595	31.1
596	30.0
597	29.8
598	30.6
599	32.4
600	34.3
601	35.9
602	36.5
603	36.4
604	36.0
605	35.4
606	35.1
607	35.5
608	37.0
609	40.0
610	44.4
611	48.3
612	50.5
613	50.7
614	49.3
615	47.2
616	44.8
617	42.9
618	41.6
619	41.3
620	42.1
621	43.7
622	44.6
623	44.4
624	42.7
625	40.2
626	37.4
627	34.8
628	32.5
629	30.9
630	29.9
631	29.9
632	30.7
633	32.6
634	34.6
635	36.3
636	37.1
637	37.4
638	36.9
639	36.4
640	35.9
641	35.8
642	36.1
643	37.7
644	40.5
645	44.7
646	49.0
647	51.9
648	52.8
649	52.1
650	50.2
651	47.9
652	45.6
653	43.7
654	42.5
655	42.3
656	42.9
657	44.3
658	45.5
659	45.8
660	44.6
661	42.4
662	39.7
663	37.0
664	34.5
665	32.5
666	31.0
667	30.2
668	29.8
669	30.3
670	31.5
671	33.5
672	35.5
673	37.1
674	37.8
675	37.9
676	37.4
677	36.9
678	36.4
679	36.2
680	36.4
681	37.1
682	38.7
683	41.7
684	46.0
