p	I1 / %
1494	32.4
1495	36.4
1496	38.4
1497	37.2
1498	33.2
1499	28.8
1500	25.6
1501	24.4
1502	24.4
1503	24.8
1504	25.2
1505	24.8
1506	22.4
1507	19.2
1508	16.4
1509	14.8
1510	14.4
1511	15.2
1512	16.8
1513	19.2
1514	22.0
1515	24.4
1516	26.0
1517	26.0
1518	25.2
1519	24.4
1520	24.8
1521	26.8
1522	30.0
1523	34.0
1524	36.4
1525	36.0
1526	32.4
1527	28.0
1528	24.4
1529	22.8
1530	22.4
1531	22.8
1532	23.2
1533	22.4
1534	20.4
1535	18.0
1536	14.4
1537	14.0
1538	14.4
1539	15.6
1540	17.6
1541	20.4
1542	23.2
1543	25.2
1544	25.6
1545	24.4
1546	23.6
1547	23.6
1548	25.6
1549	28.8
1550	32.4
1551	34.4
1552	33.2
1553	29.2
1554	25.2
1555	22.8
1556	22.0
1557	22.0
1558	22.4
1559	22.0
1560	20.4
1561	18.0
1562	15.6
1563	14.4
1564	14.0
1565	15.2
1566	17.2
1567	20.0
1568	22.4
1569	24.0
1570	24.0
1571	23.2
1572	22.8
1573	23.6
1574	25.6
1575	28.8
1576	31.6
1577	32.0
1578	29.6
1579	25.6
1580	22.4
1581	21.2
1582	21.2
1583	21.6
1584	21.2
1585	20.0
1586	17.6
1587	15.6
1588	14.4
1589	14.0
1590	15.2
1591	17.2
1592	20.0
1593	22.0
1594	23.2
1595	22.8
1596	22.0
1597	22.0
1598	23.6
1599	26.0
1600	28.4
1601	29.6
1602	28.0
1603	24.8
1604	21.6
1605	20.0
1606	19.6
1607	19.6
1608	19.2
1609	18.0
1610	16.4
1611	14.8
1612	13.6
1613	13.6
1614	14.8
1615	16.8
1616	19.2
1617	21.2
1618	22.0
1619	22.0
1620	22.0
1621	22.8
1622	24.4
1623	26.0
1624	27.2
1625	26.4
1626	24.0
1627	21.2
1628	19.6
1629	18.8
1630	18.8
1631	18.4
1632	17.6
1633	16.0
1634	14.8
1635	14.0
1636	14.4
1637	15.2
1638	16.0
1639	17.6
1640	18.8
1641	19.2
1642	19.2
1643	20.0
1644	21.2
1645	22.8
1646	24.0
1647	24.4
1648	23.2
1649	21.2
1650	19.2
1651	18.0
1652	17.6
1653	17.2
1654	16.8
1655	15.6
1656	14.4
1657	14.0
1658	14.4
1659	15.6
1660	17.2
1661	18.8
1662	20.0
1663	20.8
1664	20.8
1665	21.6
1666	22.4
1667	22.8
1668	22.8
1669	22.4
1670	20.8
1671	18.8
1672	17.2
1673	16.4
1674	16.0
1675	15.2
1676	14.4
1677	13.6
1678	13.2
1679	13.6
1680	14.4
1681	15.6
1682	17.2
1683	18.4
1684	19.6
1685	20.4
1686	20.8
1687	20.8
1688	20.8
1689	20.8
1690	20.0
1691	18.8
1692	17.2
1693	16.0
1694	14.8
1695	14.0
1696	13.6
1697	13.6
1698	13.2
1699	13.2
1700	13.6
1701	14.4
1702	15.6
1703	16.8
1704	18.0
1705	18.8
1706	19.2
1707	19.2
1708	18.8
1709	18.8
1710	18.4
1711	17.6
1712	16.0
1713	14.8
1714	13.6
1715	12.8
1716	12.4
1717	12.4
1718	12.4
1719	12.4
1720	12.8
1721	13.6
1722	14.8
1723	16.0
1724	17.2
1725	18.0
1726	18.0
1727	17.6
1728	17.2
1729	16.4
1730	16.0
1731	15.2
1732	13.6
1733	12.0
1734	11.2
1735	10.8
1736	10.8
1737	10.8
1738	10.8
1739	11.2
1740	12.0
1741	12.8
1742	13.6
1743	14.8
1744	15.6
1745	16.0
1746	15.6
1747	15.2
1748	14.4
1749	14.0
1750	13.2
1751	12.0
1752	10.8
1753	10.0
1754	9.6
1755	9.6
1756	9.6
1757	9.6
1758	9.6
1759	10.0
1760	10.8
1761	11.6
1762	12.4
1763	13.2
1764	13.2
1765	12.8
1766	12.4
1767	12.0
1768	11.2
1769	10.4
1770	9.6
1771	8.8
1772	8.4
1773	8.0
1774	8.0
1775	8.0
1776	8.4
1777	8.8
1778	9.2
1779	9.6
1780	10.0
1781	10.8
1782	10.8
1783	10.8
1784	10.4
1785	10.0
1786	9.6
1787	8.8
1788	8.0
1789	7.2
1790	6.8
1791	6.4
1792	6.4
1793	6.4
1794	6.4
1795	6.8
1796	7.2
1797	7.6
1798	8.0
1799	8.4
1800	8.4
1801	8.4
1802	8.0
1803	7.6
1804	7.2
1805	6.8
1806	6.4
1807	6.0
1808	5.6
1809	5.2
1810	5.2
1811	5.2
1812	5.6
1813	6.0
1814	6.0
1815	6.0
1816	6.4
1817	6.4
1818	6.4
1819	6.4
1820	6.0
1821	5.6
1822	5.2
1823	4.8
1824	4.4
1825	4.0
1826	4.0
1827	4.0
1828	4.0
1829	4.0
1830	4.0
1831	4.0
1832	4.0
1833	4.4
1834	4.4
1835	4.4
1836	4.4
1837	4.0
1838	3.6
1839	3.6
1840	3.2
1841	3.2
1842	2.8
1843	2.8
1844	2.8
1845	2.8
1846	2.8
1847	2.8
1848	2.8
1849	2.8
1850	2.8
1851	2.8
1852	2.8
1853	2.8
1854	2.8
1855	2.4
1856	2.4
1857	2.0
1858	2.0
1859	2.0
1860	2.0
1861	2.0
1862	2.0
1863	2.0
1864	2.0
1865	2.0
1866	2.0
1867	2.0
1868	2.0
1869	1.6
1870	1.6
1871	1.6
1872	1.2
1873	1.2
1874	1.2
1875	1.2
1876	1.2
1877	1.2
1878	1.2
1879	1.2
1880	1.2
1881	1.2
1882	1.2
1883	1.2
1884	0.8
1885	0.8
1886	0.8
1887	0.8
1888	0.8
1889	0.8
1890	0.8
1891	0.8
1892	0.8
1893	0.8
1894	0.8
1895	0.8
1896	0.8
1897	0.8
1898	0.8
1899	0.8
1900	0.8
1901	0.8
1902	0.8
1903	0.8
1904	0.8
1905	0.8
1906	0.8
1907	0.8
1908	0.4
1909	0.4
1910	0.4
1911	0.4
1912	0.4
1913	0.4
1914	0.4
1915	0.4
1916	0.4
1917	0.4
1918	0.4
1919	0.4
1920	0.4
1921	0.4
1922	0.4
1923	0.4
1924	0.4
1925	0.4
1926	0.4
1927	0.4
1928	0.4
1929	0.4
1930	0.4
1931	0.4
1932	0.4
1933	0.4
1934	0.4
1935	0.4
1936	0.4
1937	0.4
1938	0.4
1939	0.4
1940	0.4
1941	0.4
