n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
28	37.4038	0.308416	1171.1	0.456895	19.3187	0.826559	2	-1	16.40779306	0.702014578	6.6	-0.013729333	4.26435E-05	0.011655483	3.21479E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
29	36.0039	1.99397	1195.1	0.222528	8.06409	0.312398	2	0	6.849007436	0.265326432	6.6	-0.015969333	2.07693E-05	0.0116553	1.82123E-09	0.0116553	1.82123E-09	6.43761E-07	0.011655483	3.21479E-09	0.011655107	3.35474E-09	1.82645E-07	3.69483E-09	-1.92925E-07	3.81722E-09	1.00881E-11	2.06449E-13	-1.06559E-11	-2.13398E-13	4.83515E-24	9.78129E-26	-5.10729E-24	-1.01053E-25	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
30	33.6566	0.401879	1217.24	0.362931	13.6901	0.619314	2	1	11.62730038	0.525996881	6.6	-0.018035733	3.38736E-05	0.011655107	3.35474E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
31	34.9489	0.790265	828.234	0.483548	16.5261	0.880187	-2	-1	14.035977	0.747562007	6.9	0.018271493	4.51311E-05	0.011655083	4.52809E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
32	24.699	1.40797	850.528	0.193453	6.36455	0.306115	-2	0	5.405551064	0.259990143	6.9	0.01619072	1.80556E-05	0.01165528	1.60522E-09	0.01165528	1.60522E-09	6.4376E-07	0.011655083	4.52809E-09	0.011655456	3.4612E-09	-1.96879E-07	4.8042E-09	1.75593E-07	3.81532E-09	-1.08743E-11	-2.67475E-13	9.69862E-12	2.12857E-13	-5.21197E-24	-1.27182E-25	4.64849E-24	1.01003E-25	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
33	43.2783	0.312716	873.167	0.47974	22.2806	0.965693	-2	1	18.9233993	0.820184117	6.9	0.014077747	4.47757E-05	0.011655456	3.4612E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
34	27.6339	0.926272	921.057	0.394872	16.0317	0.552462	-1	-1	13.61607231	0.46921802	6.9	0.009608013	3.68547E-05	0.011655747	1.94431E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
35	57.3809	0.640938	980.383	0.759464	37.3779	1.09268	-1	0	31.74586532	0.928036945	6.9	0.00407092	7.08833E-05	0.011655955	1.58441E-09	0.011655955	1.58441E-09	6.43798E-07	0.011655747	1.94431E-09	#	#	-2.07941E-07	2.50813E-09	#WERT!	#WERT!	-1.14853E-11	-1.43015E-13	#WERT!	#WERT!	-5.5045E-24	-6.63939E-26	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
36	58.0811	0.452129	1063.81	0.803813	40.3066	1.21994	1	0	34.23327408	1.036121637	6.9	-0.0037156	7.50225E-05	0.011655962	1.53057E-09	0.011655962	1.53057E-09	6.43798E-07	#	#	0.011655749	1.87199E-09	#WERT!	#WERT!	-2.12625E-07	2.41806E-09	#WERT!	#WERT!	-1.1744E-11	-1.38409E-13	#WERT!	#WERT!	-5.62849E-24	-6.40094E-26	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
37	26.2347	0.853151	1126.35	0.382387	15.8202	0.578162	1	1	13.43644074	0.491045591	6.9	-0.009552667	3.56895E-05	0.011655749	1.87199E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
